company_code,company_name,check_type,snapshot_time,pdf_page,股权结构口径,上一时点股本/持股数(万股),上一时点出资额(万元注册资本),本次认缴/变化(万股),预期变更后股本/持股数(万股),PDF披露变更后股本/持股数(万股),差额(万股),status,notes
688775,影石创新,认缴流量数值与认购方核对,2023-03-24,66.0,认购方：汇智同裕（受让自德朴投资）,,,287.0651,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：领誉基石（受让自岚烽管理）,,,162.0179,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：知盛投资（受让自岚烽管理）,,,17.1799,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：利得鑫投（受让自CYZone）,,,15.92,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：山东龙兴（SS）（受让自CYZone）,,,18.986,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：利得鑫投（受让自QM101）,,,32.6743,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：德朴投资（受让自QM101）,,,67.4295,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：华金创盈（受让自QM101）,,,42.5193,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：朗玛十四号（受让自QM101）,,,60.7422,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
688775,影石创新,认缴流量数值与认购方核对,2019-10-31/2019-11-21,106.0,认购方：威明投资（受让自QM101）,,,24.2963,,,,pass,认缴流量存在数量/金额/价格数值信号；认购方未在当前股权结构表中直接匹配，可能是名称差异或尚未抽取对应时点
